cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,codigo_Postal,num_personas,num_personas_hombres,num_personas_mujeres,lineas_metro,salidas_metro,estaciones_metroligero,estaciones_cercanias,estacion_bus_urbano,num_lineas_buses,Renta neta media por persona,Renta neta media por hogar,Mediana de la renta por unidad de consumo,Renta bruta media por persona,Renta bruta media por hogar,Habitantes,Hogares,Tamaño medio del hogar,Tamaño del hogar (Nº de personas en la vivienda),hog_con_1,hog_con_2,hog_con_3,hog_con_4,hog_con_5,hog_con_6,hog_con_7,hog_con_8,hog_con_9,hog_con_10,hog_con_11,hog_con_12,hog_con_13,hog_con_14,hog_con_15 y más,Comercio y Servicios Minoristas,Entretenimiento y Ocio,Hostelería y Restauración,"Salud, Bienestar y Educación",Servicios Profesionales y Consultoría,Cultura y Entretenimiento
28079,Madrid,8,fuencarral-el pardo,84,pilar,28029.0,45.61,20.72,24.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,8,fuencarral-el pardo,85,lapaz,28029.0,32.192,14.964,17.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,8,fuencarral-el pardo,86,valverde,28034.0,64.757,30.851,33.906,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,1.0,0.0,3.0,0.0
28079,Madrid,8,fuencarral-el pardo,87,mirasierra,28035.0,35.676,17.16,18.516,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,,94.0,147.0,117.0,99.0
28079,Madrid,8,fuencarral-el pardo,88,elgoloso,28049.0,19.036,9.377,9.659,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,9,moncloa-aravaca,91,casadecampo,28011.0,12.767,5.958,6.809,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,9,moncloa-aravaca,92,arguelles,28008.0,24.497,11.207,13.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,3.0,0.0,3.0,0.0
28079,Madrid,9,moncloa-aravaca,93,ciudaduniversitaria,28040.0,16.364,7.603,8.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,9,moncloa-aravaca,94,valdezarza,28039.0,30.484,14.001,16.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,,91.0,102.0,176.0,103.0
28079,Madrid,9,moncloa-aravaca,95,valdemarin,28023.0,7.156,3.339,3.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,0.0,0.0,0.0,0.0
28079,Madrid,9,moncloa-aravaca,96,elplantio,28023.0,3.044,1.413,1.631,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,9,moncloa-aravaca,97,aravaca,28023.0,27.445,12.836,14.609,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,,106.0,133.0,168.0,104.0
28079,Madrid,10,latina,101,loscarmenes,28047.0,17.903,8.484,9.419,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,10,latina,102,puertadelangel,28011.0,43.292,20.165,23.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,10,latina,103,lucero,28047.0,36.749,17.156,19.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,,159.0,106.0,214.0,163.0
28079,Madrid,10,latina,104,aluche,28047.0,66.588,30.384,36.204,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,817.0,,338.0,255.0,413.0,360.0
28079,Madrid,10,latina,105,campamento,28024.0,19.75,9.111,10.639,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,2.0,2.0,1.0,0.0
28079,Madrid,10,latina,106,cuatrovientos,28024.0,6.122,3.068,3.054,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,10,latina,107,aguilas,28044.0,51.268,23.725,27.543,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,3.0,0.0,0.0
28079,Madrid,11,carabanchel,111,comillas,28019.0,22.721,10.491,12.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,1.0,4.0,11.0,0.0
28079,Madrid,11,carabanchel,112,opanel,28019.0,33.883,15.556,18.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.0,,205.0,107.0,437.0,214.0
28079,Madrid,11,carabanchel,113,sanisidro,28019.0,40.368,18.969,21.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,11,carabanchel,114,vistaalegre,28025.0,47.727,21.823,25.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,11,carabanchel,115,puertabonita,28025.0,36.798,17.349,19.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28079,Madrid,11,carabanchel,116,buenavista,28025.0,49.151,23.733,25.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.0,,276.0,185.0,398.0,241.0
28079,Madrid,11,carabanchel,117,abrantes,28041.0,31.691,14.711,16.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,1.0,2.0,8.0,0.0
28079,Madrid,12,usera,121,orcasitas,28041.0,23.085,10.9,12.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,,74.0,42.0,42.0,62.0
