cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;codigo_Postal;num_personas;num_personas_hombres;num_personas_mujeres;total_transacciones;viv_nuevas_transacciones;viv_usadas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;num_lineas_buses;Renta neta media por persona;Renta neta media por hogar;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar;Habitantes;Hogares;Tamaño medio del hogar;Tamaño del hogar (Nº de personas en la vivienda);hog_con_1;hog_con_2;hog_con_3;hog_con_4;hog_con_5;hog_con_6;hog_con_7;hog_con_8;hog_con_9;hog_con_10;hog_con_11;hog_con_12;hog_con_13;hog_con_14;hog_con_15 y más
28079;Madrid;7; Chamberí;74;Almagro;28010;19.418;8.567;10.851;310;34;276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;7; Chamberí;75;RíosRosas;28003;27.163;11.828;15.335;380;54;326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;7; Chamberí;76;Vallehermoso;28003;19.853;8.619;11.234;208;36;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;81;ElPardo;28048;3.421;1.716;1.705;24;0;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;82;Fuentelarreina;28035;3.410;1.559;1.851;30;2;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;83;Peñagrande;28035;44.341;20.597;23.744;336;20;316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;84;Pilar;28029;45.610;20.720;24.890;396;115;281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;85;LaPaz;28029;32.192;14.964;17.228;156;1;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;86;Valverde;28034;64.757;30.851;33.906;561;184;377;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;87;Mirasierra;28035;35.676;17.160;18.516;353;217;136;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;8; Fuencarral-El Pardo;88;ElGoloso;28049;19.036;9.377;9.659;177;121;56;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;91;CasadeCampo;28011;12.767;5.958;6.809;95;15;80;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;92;Argüelles;28008;24.497;11.207;13.290;333;88;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;93;CiudadUniversitaria;28040;16.364;7.603;8.761;109;8;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;94;Valdezarza;28039;30.484;14.001;16.483;241;3;238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;95;Valdemarín;28023;7.156;3.339;3.817;61;10;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;96;ElPlantío;28023;3.044;1.413;1.631;35;15;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;9; Moncloa-Aravaca;97;Aravaca;28023;27.445;12.836;14.609;200;9;191;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;10; Latina;101;LosCármenes;28047;17.903;8.484;9.419;142;15;127;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;10; Latina;102;PuertadelÁngel;28011;43.292;20.165;23.127;532;117;415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;10; Latina;103;Lucero;28047;36.749;17.156;19.593;396;63;333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;10; Latina;104;Aluche;28047;66.588;30.384;36.204;519;23;496;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;10; Latina;105;Campamento;28024;19.750;9.111;10.639;147;17;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;10; Latina;106;CuatroVientos;28024;6.122;3.068;3.054;30;2;28;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;10; Latina;107;Águilas;28044;51.268;23.725;27.543;379;44;335;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;11; Carabanchel;111;Comillas;28019;22.721;10.491;12.230;294;28;266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;11; Carabanchel;112;Opañel;28019;33.883;15.556;18.327;351;47;304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;11; Carabanchel;113;SanIsidro;28019;40.368;18.969;21.399;427;46;381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;11; Carabanchel;114;VistaAlegre;28025;47.727;21.823;25.904;505;36;469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;11; Carabanchel;115;PuertaBonita;28025;36.798;17.349;19.449;400;44;356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;11; Carabanchel;116;Buenavista;28025;49.151;23.733;25.418;519;113;406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;11; Carabanchel;117;Abrantes;28041;31.691;14.711;16.980;317;20;297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;12; Usera;121;Orcasitas;28041;23.085;10.900;12.185;122;1;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;12; Usera;122;Orcasur;28041;14.390;6.987;7.403;12;2;10;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;12; Usera;123;SanFermín;28041;23.598;11.246;12.352;187;10;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;12; Usera;124;Almendrales;28026;22.834;10.755;12.079;135;21;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;12; Usera;125;Moscardó;28026;26.579;12.531;14.048;176;17;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;12; Usera;126;Zofío;28026;14.382;6.681;7.701;133;9;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;12; Usera;127;Pradolongo;28041;17.878;8.438;9.440;7;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;13; Puente de Vallecas;131;Entrevías;28053;35.399;16.976;18.423;403;172;231;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;13; Puente de Vallecas;132;SanDiego;28053;45.104;21.593;23.511;699;242;457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;13; Puente de Vallecas;133;PalomerasBajas;28018;40.477;18.947;21.530;315;47;268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;13; Puente de Vallecas;134;PalomerasSureste;28018;43.162;20.491;22.671;424;39;385;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;13; Puente de Vallecas;135;Portazgo;28018;28.741;13.471;15.270;308;56;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;13; Puente de Vallecas;136;Numancia;28038;48.720;23.064;25.656;546;94;452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;14; Moratalaz;141;Pavones;28030;8.814;4.035;4.779;58;4;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;14; Moratalaz;142;Horcajo;28030;6.339;3.029;3.310;20;1;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;14; Moratalaz;143;Marroquina;28030;26.120;11.962;14.158;183;8;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;14; Moratalaz;144;MediaLegua;28030;17.323;7.828;9.495;122;4;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;14; Moratalaz;145;Fontarrón;28030;17.333;7.876;9.457;158;13;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;14; Moratalaz;146;Vinateros;28030;16.885;7.482;9.403;160;2;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;151;Ventas;28027;50.218;22.868;27.350;599;68;531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;152;PuebloNuevo;28017;62.840;28.982;33.858;774;31;743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;153;Quintana;28027;25.469;11.449;14.020;346;26;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;154;Concepción;28027;20.941;9.402;11.539;254;0;254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;155;SanPascual;28027;18.327;8.349;9.978;171;0;171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;156;SanJuanBautista;28043;12.445;5.813;6.632;131;8;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;157;Colina;28027;6.569;2.973;3.596;105;11;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;158;Atalaya;28027;1.622;691;931;17;1;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;15; Ciudad Lineal;159;Costillares;28027;21.914;10.232;11.682;153;11;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;16; Hortaleza;161;Palomas;28043;6.922;3.404;3.518;50;0;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;16; Hortaleza;162;Piovera;28055;15.041;7.211;7.830;186;94;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;16; Hortaleza;163;Canillas;28043;39.786;18.485;21.301;321;10;311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28079;Madrid;16; Hortaleza;164;PinardelRey;28033;52.031;23.825;28.206;448;62;386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
