,url,title,precio,dormitorios,banos,m2_constr,descripcion_extendida,referencia,tipologia,piscina,garaje,jardin,fecha_publicacion,n.visitas,calefaccion,trastero,amueblado,chimenea,videoportero,alarma,aire_acondicionado,zona,barrio,distrito,cod_distrito,cod_barrio,cod_barrio_2,codigo_Postal,web,fecha_descarga
661,https://www.pisosmadrid.com.es/propiedad/4057950-atico-en-venta-en-goya-madrid,"Atico en venta en Goya, Madrid",1.800.000 €,5 Dormitorio(s),3 Baño(s),230 ,"Agencia inmobiliaria DS Realtors le ofrece, SIN HONORARIOS DE AGENCIA, este fantástico ATICO en Barrio de Salamanca/Fuente del Berro. En PLAZA MANUEL BECERRA a escasos metros con calle Alcalá en pleno Goya. Esta excepcio...",4057950,Atico,0.0,0.0,0.0,2024-10-08,10.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Goya,Goya,Salamanca,4,42,2,28001,pisosmadrid,24/10/2024
662,https://www.pisosmadrid.com.es/propiedad/4058113-apartamento-en-venta-en-ciudad-lineal-madrid,"Apartamento en venta en Ciudad Lineal, Madrid",163.000 €,2 Dormitorio(s),1 baño,56.41 ,"Apartamento en Madrid, zona Ciudad Lineal, con 56,41 metros cuadrados que te ofrece una excelente oportunidad de personalización. Esta propiedad cuenta con 2 habitaciones y 1 baño, ideal para diseñar el hogar de tus sueñ...",4058113,Apartamento,0.0,0.0,1.0,2024-10-08,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ciudad Lineal,,Ciudad Lineal,15,,,,pisosmadrid,24/10/2024
663,https://www.pisosmadrid.com.es/propiedad/4058252-piso-en-venta-en-ensanche-vallecas-madrid,"Piso en venta en Ensanche Vallecas, Madrid",418.000 €,3 Dormitorio(s),2 Baño(s),104 ,"Fantástica vivienda de 99m2 reformada y exterior.~Este inmueble cuenta con 3 dormitorios, cocina y 2 baños completos. El salón es independiente y muy amplio. Equipado con ventanas climalit y toldos automáticos.~La cocina...",4058252,Piso,1.0,1.0,1.0,2024-10-08,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ensanche Vallecas,,,,,,,pisosmadrid,24/10/2024
664,https://www.pisosmadrid.com.es/propiedad/4058900-piso-en-venta-en-madrid,Piso en venta en Madrid,219.000 €,2 Dormitorio(s),1 baño,58 ,Imagina dejar de soñar con esa obra nueva que nunca llega o cuyo precio se va por las nubes... ¿Por qué esperar cuando tienes esta oferta con tantísimo potencial en el casco histórico de Barajas Pueblo? ~~Este piso te es...,4058900,Piso,0.0,1.0,0.0,2024-10-09,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,, Barajas,21,,,,pisosmadrid,24/10/2024
665,https://www.pisosmadrid.com.es/propiedad/4058968-piso-en-venta-en-aguilas-madrid,"Piso en venta en Aguilas, Madrid",180.000 €,3 Dormitorio(s),1 baño,80 ,"¡Descubre tu nuevo hogar en una de las zonas más tranquilas y residenciales de la ciudad! ~~Este encantador piso de 80 m² te ofrece la comodidad y el espacio que necesitas, con tres amplios dormitorios y un baño en perfe...",4058968,Piso,0.0,0.0,0.0,2024-10-09,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Aguilas,,,,,,,pisosmadrid,24/10/2024
666,https://www.pisosmadrid.com.es/propiedad/4059166-piso-en-venta-en-vista-alegre-madrid,"Piso en venta en Vista Alegre, Madrid",208.000 €,3 Dormitorio(s),1 baño,75 ,LINKCASA SERVCIO INMOBILIARIO~~Vivienda en General Ricardos de 75 m2 distribuida de la siguiente manera:~~- Hall recibidor ~- Cocina con tendedero~- Amplio salón con terraza~- Cuarto de baño completo ~- 1 dormitorio Indi...,4059166,Piso,0.0,0.0,0.0,2024-10-09,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Vista Alegre,Vista Alegre,Carabanchel,11,114,4,28025,pisosmadrid,24/10/2024
667,https://www.pisosmadrid.com.es/propiedad/4059825-piso-en-venta-en-puerta-del-angel-madrid,"Piso en venta en Puerta del Angel, Madrid",295.000 €,2 Dormitorio(s),1 baño,86 ,"Los Carmenes, piso a estrenar reforma, se entrega con mobiliario y electrodomésticos a estrenar, 86 m2 construidos, 2 dormitorios, baño completo, salón comedor, cocina independiente, segunda planta con ascensor, plaza de...",4059825,Piso,0.0,1.0,0.0,2024-10-09,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Puerta del Angel,puerta del angel,Latina,10,102,2,28011,pisosmadrid,24/10/2024
668,https://www.pisosmadrid.com.es/propiedad/4059890-piso-en-venta-en-goya-madrid,"Piso en venta en Goya, Madrid",1.679.000 €,2 Dormitorio(s),2 Baño(s),126 ,"Ubicado en la reconocida calle Lope de Rueda 29, este impresionante piso exterior en la cuarta planta se encuentra en uno de los barrios más exclusivos de Madrid. Con una superficie de 133 metros cuadrados catastrales, l...",4059890,Piso,0.0,0.0,0.0,2024-10-09,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Goya,Goya,Salamanca,4,42,2,28001,pisosmadrid,24/10/2024
669,https://www.pisosmadrid.com.es/propiedad/4059891-piso-en-venta-en-ibiza-madrid,"Piso en venta en Ibiza, Madrid",959.000 €,3 Dormitorio(s),3 Baño(s),91 ,"Presentamos esta excepcional vivienda en Fernán González 38, ubicada en el prestigioso barrio de Salamanca, Madrid. Este piso interior de 104 m² en proceso de reforma ofrece una oportunidad única para personalizar cada d...",4059891,Piso,0.0,0.0,0.0,2024-10-09,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Ibiza,Ibiza,Retiro,3,34,4,28009,pisosmadrid,24/10/2024
670,https://www.pisosmadrid.com.es/propiedad/4059892-piso-en-venta-en-malasana-madrid,"Piso en venta en Malasaña, Madrid",839.000 €,3 Dormitorio(s),3 Baño(s),110 ,"Este inmueble situado en la calle San Bernardo 51, en el corazón del barrio Universidad-Centro de Madrid, representa una oportunidad única para aquellos que buscan una vivienda reformada con historia y carácter. La propi...",4059892,Piso,0.0,0.0,0.0,2024-10-09,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Malasana,Universidad,Centro,1,15,5,28015,pisosmadrid,24/10/2024
