OBJECTID,IDPOSTE,FECHAACTUAL,MODO,CODIGOESTACION,CODIGOPOSTE,OBSERVACIONES,IDENTIFICATIVO,CODIGOTIPOPOSTE,CODIGOEMPRESA,CODIGODARSENA,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,CODIGOMUNICIPIO,CODIGOPROVINCIA,FECHAMAQUETACIONTIRA,FECHACOLOCACIONTIRA,IDFESTACION
821,6_296_*,20240628,6,296,*,,PS,6,100,,20030101,,,441912.7654,4477657.1684,079,28,2003/01/01 00:00:00+00,,6_296
822,6_297_*,20240628,6,297,*,,PS,6,100,,20030101,,,442184.7631,4477671.8048,079,28,2003/01/01 00:00:00+00,,6_297
823,6_298_*,20240628,6,298,*,,PS,6,100,,20030101,,,442227.4128,4477365.7409,079,28,2003/01/01 00:00:00+00,,6_298
824,6_299_*,20240628,6,299,*,,PS,6,100,,20030101,,,442260.7551,4477707.2047,079,28,2003/01/01 00:00:00+00,,6_299
825,6_300_*,20240628,6,300,*,,PS,6,100,,20030101,,,442401.7985,4477850.3411,079,28,2003/01/01 00:00:00+00,,6_300
826,6_301_*,20240628,6,301,*,,PS,6,100,,20030101,,,442505.1245,4478040.6589,079,28,2003/01/01 00:00:00+00,,6_301
827,6_302_*,20240628,6,302,*,,PS,6,100,,20030101,,,442292.035,4478154.2133,079,28,2003/01/01 00:00:00+00,,6_302
828,6_303_*,20240628,6,303,*,,PS,6,100,,20100930,,,442356.808,4478369.064,079,28,2003/01/01 00:00:00+00,,6_303
829,6_305_*,20240628,6,305,*,,PS,6,100,,20030101,,,442730.3395,4479010.7409,079,28,2003/01/01 00:00:00+00,,6_305
830,6_306_*,20240628,6,306,*,,PS,6,100,,20030101,,,442833.7411,4479064.9594,079,28,2003/01/01 00:00:00+00,,6_306
831,6_307_*,20240628,6,307,*,,PS,6,100,,20030101,,,443107.68,4479060.3048,079,28,2003/01/01 00:00:00+00,,6_307
832,6_308_*,20240628,6,308,*,,PS,6,100,,20030101,,,443374.0877,4479094.4594,079,28,2003/01/01 00:00:00+00,,6_308
833,6_309_*,20240628,6,309,*,,PS,6,100,,20160205,,,443947.012,4479339.261,079,28,2003/01/01 00:00:00+00,,6_309
834,6_310_*,20240628,6,310,*,,PS,6,100,,20030101,,,443720.3395,4479674.6045,079,28,2003/01/01 00:00:00+00,,6_310
835,6_311_*,20240628,6,311,*,,PS,6,100,,20030101,,,443644.3489,4480076.6045,079,28,2003/01/01 00:00:00+00,,6_311
836,6_312_*,20240628,6,312,*,,PS,6,100,,20030101,,,443565.6763,4480489.7591,079,28,2003/01/01 00:00:00+00,,6_312
837,6_313_*,20240628,6,313,*,,PS,6,100,,20080929,,,443505.936,4480708.304,079,28,2003/01/01 00:00:00+00,,6_313
838,6_314_*,20240628,6,314,*,,PS,6,100,,20030101,,,443486.8918,4480959.9594,079,28,2003/01/01 00:00:00+00,,6_314
839,6_315_*,20240628,6,315,*,,PS,6,100,,20030101,,,443685.6936,4480864.4594,079,28,2003/01/01 00:00:00+00,,6_315
840,6_316_*,20240628,6,316,*,,PS,6,100,,20030101,,,443887.6968,4480747.3048,079,28,2003/01/01 00:00:00+00,,6_316
841,6_317_*,20240628,6,317,*,,PS,6,100,,20030101,,,444095.111,4480944.4775,079,28,2003/01/01 00:00:00+00,,6_317
842,6_318_*,20240628,6,318,*,,PS,6,100,,20101027,,,444263.277,4481108.829,079,28,2003/01/01 00:00:00+00,,6_318
843,6_319_*,20240628,6,319,*,,PS,6,100,,20030101,,,444224.5252,4481347.5225,079,28,2003/01/01 00:00:00+00,,6_319
844,6_320_*,20240628,6,320,*,,PS,6,100,,20101027,,,444074.155,4481240.323,079,28,2003/01/01 00:00:00+00,,6_320
845,6_321_*,20240628,6,321,*,,PS,6,100,,20140711,,,443946.505,4481068.364,079,28,2003/01/01 00:00:00+00,,6_321
846,6_322_*,20240628,6,322,*,,PS,6,100,,20030101,,,444055.2029,4480949.5138,079,28,2003/01/01 00:00:00+00,,6_322
847,6_323_*,20240628,6,323,*,,PS,6,100,,20030101,,,443869.354,4480771.2314,079,28,2003/01/01 00:00:00+00,,6_323
