banos,cod_barrio,cod_barrio_group,cod_distrito,codigo_postal,comercio_serviciosminoristas,cultura_entretenimiento,dormitorios,hog_con_10,lineas_metro,m2_constr,num_personas,renta_bruta_media_por_persona,salud_bienestar_educacion,servicios_profesionales,target,target_log,tipo_inmueble
1.0,115,4,19,45,197.0,99.0,3.0,53.0,3.0,83.0,3421.0,28798.0,148.0,121.0,335000.0,12.721885810807205,0
1.0,20,0,3,24,1495.0,491.0,2.0,77.0,2.0,64.0,26579.0,13481.0,267.0,689.0,175000.0,12.072541252905651,0
1.0,117,3,19,33,197.0,99.0,2.0,53.0,3.0,53.0,44341.0,28798.0,148.0,121.0,172500.0,12.058152515453552,0
2.0,114,4,18,2,1930.0,905.0,3.0,21.0,9.0,96.0,19853.0,36934.0,1039.0,1910.0,0.0,-inf,4
2.0,5,1,1,22,1223.0,523.0,2.0,82.0,3.0,87.0,6122.0,17267.0,366.0,628.0,298000.0,12.604848765487542,0
1.0,6,0,1,41,1223.0,523.0,3.0,82.0,3.0,72.0,51268.0,17267.0,366.0,628.0,210000.0,12.254862809699606,0
2.0,39,1,6,25,1211.0,556.0,3.0,62.0,5.0,98.0,25469.0,22440.0,459.0,1049.0,0.0,-inf,0
4.0,23,4,0,13,1208.0,259.0,3.0,43.0,7.0,184.0,10816.0,27030.0,137.0,582.0,2350000.0,14.669925886120343,0
3.0,65,2,12,34,1504.0,552.0,4.0,44.0,3.0,231.0,28765.0,19768.0,381.0,828.0,1219900.0,14.014279446136829,0
2.0,36,3,0,14,1208.0,259.0,2.0,43.0,7.0,97.0,32783.0,27030.0,137.0,582.0,0.0,-inf,0
1.0,25,0,4,46,423.0,173.0,1.0,123.0,1.0,20.0,45104.0,13354.0,90.0,189.0,69500.0,11.149082031552883,0
1.0,9,1,2,18,1332.0,455.0,2.0,139.0,3.0,128.0,33883.0,15239.0,298.0,854.0,315000.0,12.66032791780777,1
2.0,64,2,10,30,180.0,92.0,4.0,23.0,1.0,125.0,13054.0,18214.0,72.0,52.0,489900.0,13.101956567626667,0
4.0,89,4,14,13,408.0,164.0,4.0,10.0,4.0,370.0,6825.0,33396.0,169.0,349.0,4260000.0,15.264779718245553,0
4.0,7,3,0,12,1208.0,259.0,4.0,43.0,7.0,320.0,23501.0,27030.0,137.0,582.0,750000.0,13.527828485512494,0
1.0,103,2,17,36,1337.0,538.0,1.0,70.0,6.0,36.0,29355.0,22890.0,375.0,1502.0,150000.0,11.918390573078394,1
1.0,57,0,8,20,139.0,54.0,4.0,78.0,1.0,90.0,34827.0,13604.0,45.0,79.0,120500.0,11.699405031912846,0
1.0,30,4,0,3,1208.0,259.0,1.0,43.0,7.0,41.0,18219.0,27030.0,137.0,582.0,239000.0,12.384218830913648,0
