m2_constr;distrito;cod_distrito;barrio;cod_barrio;letra_ce;tipologia;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;antiguedad;jardin;tipo_inmueble;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;codigo_postal;tipo_suelo;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;aire;grupo_cocina;orientacion_norte;letra_emisiones;latitud;longitud;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;target;precio_mean_b;pm_tlogia_distrito;euro_m2_barrio;total_estaciones;habitaciones;m2_por_hab;atrib_lujo;atrib;serv_barrio;cod_barrio_frecuency;precio
117.0;Carabanchel;11;Vista Alegre;114;0;Atico;3;0.0;5.0;1;1;0;0;0;1;menos_5;0;Desconocido;0;0;1;0;0;0;1;28025;Madera;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'20.68'' N ;3º44'6.97'' W   ;47727;505;36;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;1;0;0;1;1;399000;233879.31;355687.5;2859.4014;305;2;58.5;1;3.0;3422;87;399000
223.0;Centro;1;Cortes;13;0;Piso;0;0.0;2.0;3;3;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28014;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º24'44.8'' N  ;3º41'37.98'' W  ;10816;180;0;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;5;2500000;984085.9;870158.06;6772.3047;210;6;37.166668;0;3.0;3240;145;2500000
139.0;Salamanca;4;Lista;45;0;Piso;4;1.0;4.0;3;3;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28006;Desconocido;0;0;0;1;0;Normal;Desconocido;0;0;40º25'54.02'' N ;3º40'23.99'' W  ;20969;247;2;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;2;0;1;5;1300000;1352493.4;1769842.4;9809.669;205;6;23.166666;1;5.0;7681;166;1300000
170.0;Ciudad Lineal;15;Costillares;159;3;Piso;0;0.0;2.0;4;3;0;1;1;1;mas_50;2;Desconocido;0;0;1;0;0;0;1;28027;Madera;1;0;0;0;0;Normal;Desconocido;0;3;40º28'12.01'' N ;3º39'58.62'' W  ;21914;153;11;5;14;1;0;272;22440;2.46;28853;62;46;1211;517;459;1049;556;572705;0;0;0;1;4;778000;665720.0;382082.53;4991.902;287;7;24.285715;5;6.0;3792;25;778000
48.0;Carabanchel;11;Opañel;112;1;Piso;1;0.0;2.0;2;1;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28019;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;1;40º23'38.38'' N ;3º43'11.59'' W  ;33883;351;47;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;0;0;0;1;2;129900;247852.39;220952.16;2737.0203;305;3;16.0;1;4.0;3422;63;129900
81.0;Puente De Vallecas;13;Numancia;136;2;Piso;0;0.0;4.0;4;1;1;1;0;0;mas_50;0;Desconocido;0;0;1;0;0;0;1;28038;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;2;40º24'19.79'' N ;3º39'24.0'' W   ;48720;546;94;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;0;0;0;1;1;180000;177536.81;174892.8;2573.4072;321;5;16.2;2;5.0;1012;91;180000
229.0;Salamanca;4;Guindalera;44;0;Piso;2;0.0;3.0;3;4;1;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28028;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º26'5.9'' N   ;3º40'17.91'' W  ;41964;555;71;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;4;2239000;728562.7;1769842.4;6186.143;205;7;32.714287;1;5.0;7681;75;2239000
87.0;Villa De Vallecas;18;Santa Eugenia;182;0;Piso;0;0.0;1.0;1;1;0;0;0;0;30_50;0;Desconocido;0;0;1;0;0;0;1;28031;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'22.11'' N ;3º37'0.07'' W   ;23876;139;2;1;5;0;1;158;17346;2.61;12370;27;11;0;0;0;0;0;2681389;0;0;0;1;1;218000;228397.53;248783.3;2753.3958;164;2;43.5;1;2.0;0;41;218000
51.0;Chamartín;5;Nueva España;55;0;Piso;0;0.0;3.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28016;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º27'53.32'' N ;3º40'54.53'' W  ;24466;186;26;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;0;0;0;1;5;360000;1502470.9;1120715.5;6819.482;296;2;25.5;1;3.0;1920;103;360000
95.0;Villaverde;17;Los Ángeles;174;0;Piso;3;0.0;2.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;3;28021;Desconocido;0;0;1;0;1;Desconocido;Desconocido;0;0;40º21'39.54'' N ;3º41'27.56'' W  ;37808;336;68;1;4;0;5;193;13604;2.82;14009;78;28;139;64;45;79;54;711123;0;0;0;1;1;199000;166681.86;167689.4;1943.426;202;5;19.0;1;6.0;381;41;199000
42.0;Centro;1;Embajadores;12;0;Piso;0;0.0;3.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28012;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º24'36.91'' N ;3º42'16.42'' W  ;46204;750;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;3;320000;474367.94;870158.06;5945.187;210;2;21.0;0;3.0;3240;205;320000
145.0;Centro;1;Universidad;15;4;Piso;4;1.0;0.0;2;2;1;0;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28015;Madera;1;0;1;0;0;Normal;Amueblada;0;4;40º25'32.9'' N  ;3º42'30.72'' W  ;32783;613;30;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;2;0;6;0;4;959000;724757.8;870158.06;6883.6953;210;4;36.25;0;10.0;3240;325;959000
197.0;Salamanca;4;Recoletos;41;0;Piso;2;0.0;2.0;3;5;1;0;0;1;mas_50;0;lujo;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;40º25'19.05'' N ;3º40'53.05'' W  ;15444;243;8;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;2150000;2479820.2;1769842.4;11784.251;205;8;24.625;1;4.0;7681;262;2150000
101.0;Carabanchel;11;Abrantes;117;0;Piso;1;0.0;3.0;3;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28041;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º22'35.7'' N  ;3º43'10.93'' W  ;31691;317;20;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;1;0;0;1;1;266300;213790.86;220952.16;2527.7078;305;4;25.25;1;3.0;3422;57;266300
185.0;Chamartín;5;Hispanoamérica;54;0;Chalet;1;0.0;0.0;4;2;0;1;0;1;mas_50;2;Desconocido;0;0;1;0;0;0;4;28016;Madera;0;0;0;0;0;Desconocido;Desconocido;0;0;40º27'26.56'' N ;3º39'55.32'' W  ;31470;311;12;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;0;2;0;1;5;1490000;1321864.5;2726054.0;7069.4688;296;6;30.833334;4;6.0;1920;112;1490000
106.0;Centro;1;Cortes;13;0;Piso;0;0.0;2.0;2;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28014;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º24'44.8'' N  ;3º41'37.98'' W  ;10816;180;0;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;5;839000;984085.9;870158.06;6772.3047;210;4;26.5;0;3.0;3240;145;839000
202.0;Moncloa-Aravaca;9;Argüelles;92;0;Piso;2;0.0;6.0;4;2;0;1;1;1;mas_50;0;Desconocido;0;0;2;0;0;0;4;28008;Madera;0;0;0;0;1;Normal;Desconocido;0;0;40º25'53.4'' N  ;3º43'1.87'' W   ;24497;333;88;6;14;1;3;351;36592;2.58;14738;26;59;532;200;235;347;207;19901426;2;0;6;1;4;1190000;776174.75;732204.75;6110.5547;369;6;33.666668;3;7.0;1521;91;1190000
131.0;Salamanca;4;Goya;42;0;Piso;0;0.0;2.0;3;3;0;0;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'21.71'' N ;3º40'48.03'' W  ;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;1680000;1480537.9;1769842.4;10122.084;205;6;21.833334;1;3.0;7681;346;1680000
1525.0;Moncloa-Aravaca;9;El Plantío;96;5;Chalet;1;0.0;0.0;5;6;0;1;1;1;30_50;0;Desconocido;0;0;1;2;0;0;1;28023;Desconocido;1;0;1;0;1;Normal;Desconocido;0;5;40º27'56.54'' N ;3º48'17.45'' W  ;3044;35;15;6;14;1;3;351;36592;2.58;14738;26;59;532;200;235;347;207;19901426;0;2;0;1;5;3100000;2752291.8;3105207.5;3017.1672;369;11;138.63637;5;8.0;1521;19;3100000
116.0;Tetuán;6;Bellas Vistas;61;0;Piso;3;0.0;3.0;4;2;0;0;1;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28039;Desconocido;0;0;0;1;1;Desconocido;Desconocido;0;0;40º26'59.26'' N ;3º42'25.98'' W  ;29355;230;5;6;12;0;0;166;22890;2.34;25992;70;28;1337;589;375;1502;538;301635;0;0;0;1;3;449000;498727.97;576069.7;5159.811;178;6;19.333334;2;4.0;4341;64;449000
86.0;San Blas-Canillejas;20;Rejas;206;2;Piso;2;0.0;1.0;2;2;0;0;1;1;Desconocido;2;Desconocido;0;0;1;0;0;0;1;28037;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;2;40º26'59.83'' N ;3º35'46.49'' W  ;17399;694;506;3;10;0;0;275;19768;2.63;16710;44;26;1504;739;381;828;552;995950;0;0;0;1;3;345000;387707.03;245671.58;3096.2378;285;4;21.5;4;5.0;4004;32;345000
88.0;Carabanchel;11;Opañel;112;0;Piso;0;0.0;2.0;2;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28019;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'38.38'' N ;3º43'11.59'' W  ;33883;351;47;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;0;0;0;0;2;205000;247852.39;220952.16;2737.0203;305;3;29.333334;0;3.0;3422;63;205000
72.0;Carabanchel;11;Vista Alegre;114;0;Piso;0;0.0;2.0;3;1;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28025;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'20.68'' N ;3º44'6.97'' W   ;47727;505;36;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;0;0;0;1;1;269000;233879.31;220952.16;2859.4014;305;4;18.0;1;3.0;3422;87;269000
103.0;Moncloa-Aravaca;9;Argüelles;92;0;Piso;0;0.0;1.0;2;2;0;0;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28008;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'53.4'' N  ;3º43'1.87'' W   ;24497;333;88;6;14;1;3;351;36592;2.58;14738;26;59;532;200;235;347;207;19901426;0;0;0;1;4;820000;776174.75;732204.75;6110.5547;369;4;25.75;1;3.0;1521;91;820000
46.0;Centro;1;Embajadores;12;0;Piso;2;0.0;1.0;2;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28012;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º24'36.91'' N ;3º42'16.42'' W  ;46204;750;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;3;239000;474367.94;870158.06;5945.187;210;3;15.333333;0;3.0;3240;205;239000
90.0;Hortaleza;16;Apostol Santiago;165;3;Piso;0;0.0;3.0;3;2;0;0;0;1;mas_50;0;medio;0;0;1;0;0;0;1;28033;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;3;40º28'49.83'' N ;3º39'34.06'' W  ;15435;138;8;2;9;6;1;325;29047;2.65;19312;38;32;1114;603;596;1135;486;1758173;0;0;0;1;2;340000;327146.66;481471.5;3879.2095;341;5;18.0;1;6.0;3934;15;340000
205.0;Fuencarral-El Pardo;8;El Pardo;81;0;Piso;1;0.0;3.0;5;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28048;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º31'25.35'' N ;3º46'45.77'' W  ;3421;24;0;3;14;2;5;448;28798;2.67;23923;53;48;197;95;148;121;99;2811379;0;0;0;1;5;950000;927526.2;436910.75;3840.5605;469;7;29.285715;1;3.0;660;187;950000
172.0;Chamberí;7;Vallehermoso;76;0;Atico;0;0.0;13.0;3;3;0;0;1;1;Desconocido;0;Desconocido;0;0;1;0;0;1;1;28003;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º26'40.94'' N ;3º42'57.41'' W  ;19853;208;36;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;0;0;0;1;5;1331000;971038.1;1350410.4;6428.781;173;6;28.666666;2;4.0;6900;66;1331000
306.0;Moncloa-Aravaca;9;Argüelles;92;0;Piso;1;0.0;5.0;5;5;0;0;1;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28008;Desconocido;0;0;0;0;0;Desconocido;Desconocido;1;0;40º25'53.4'' N  ;3º43'1.87'' W   ;24497;333;88;6;14;1;3;351;36592;2.58;14738;26;59;532;200;235;347;207;19901426;0;0;0;1;4;1849000;776174.75;732204.75;6110.5547;369;10;30.6;2;4.0;1521;91;1849000
66.0;Puente De Vallecas;13;San Diego;132;6;Piso;2;0.0;1.0;1;1;0;0;0;1;10_30;0;Desconocido;0;0;1;0;0;0;1;28053;Desconocido;1;0;0;0;0;Normal;Desconocido;0;6;40º23'17.72'' N ;3º39'57.58'' W  ;45104;699;242;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;1;0;0;1;1;197000;171103.42;174892.8;2466.8286;321;2;33.0;1;9.0;1012;94;197000
112.0;Centro;1;Sol;16;4;Piso;0;1.0;2.0;3;3;0;1;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28013;Desconocido;1;0;0;0;0;Desconocido;Desconocido;1;4;40º25'8.03'' N  ;3º42'14.2'' W   ;8164;123;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;2;0;0;0;4;989000;908933.5;870158.06;6600.1484;210;6;18.666666;1;9.0;3240;266;989000
88.0;Puente De Vallecas;13;San Diego;132;0;Piso;1;0.0;2.0;2;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28053;Madera;0;0;1;0;0;Normal;Desconocido;0;0;40º23'17.72'' N ;3º39'57.58'' W  ;45104;699;242;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;1;0;0;1;1;147000;171103.42;174892.8;2466.8286;321;3;29.333334;1;3.0;1012;94;147000
97.0;Salamanca;4;Goya;42;0;Piso;1;0.0;2.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28001;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;40º25'21.71'' N ;3º40'48.03'' W  ;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;3;0;1;5;700000;1480537.9;1769842.4;10122.084;205;5;19.4;1;4.0;7681;346;700000
229.0;Hortaleza;16;Valdefuentes;166;0;Duplex;5;0.0;8.0;4;2;0;1;1;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28055;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º29'21.45'' N ;3º40'20.75'' W  ;69176;674;262;2;9;6;1;325;29047;2.65;19312;38;32;1114;603;596;1135;486;1758173;0;0;0;1;5;1023450;1011412.2;855090.0;4680.8022;341;6;38.166668;3;3.0;3934;69;1023450
79.0;Salamanca;4;Lista;45;3;Piso;1;0.0;2.0;2;1;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28006;Desconocido;1;0;0;0;0;Normal;Desconocido;0;3;40º25'54.02'' N ;3º40'23.99'' W  ;20969;247;2;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;2;0;0;1;5;500000;1352493.4;1769842.4;9809.669;205;3;26.333334;1;6.0;7681;166;500000
270.0;Chamberí;7;Almagro;74;0;Piso;0;0.0;3.0;5;5;0;1;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28010;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'36.89'' N ;3º41'31.6'' W   ;19418;310;34;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;0;0;0;1;5;2690000;2368570.0;1373545.5;10201.327;173;10;27.0;2;4.0;6900;126;2690000
56.0;Usera;12;Almendrales;124;0;Piso;2;0.0;1.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28026;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º23'14.07'' N ;3º42'2.03'' W   ;22834;135;21;2;4;0;2;186;13481;2.8;13483;77;26;1495;565;267;689;491;515144;0;0;0;1;1;140000;226296.17;224598.0;3122.5933;192;2;28.0;1;3.0;3507;34;140000
780.0;Fuencarral-El Pardo;8;El Pardo;81;6;Chalet;2;0.0;0.0;7;5;1;1;0;1;mas_50;0;lujo;0;0;1;0;0;0;1;28048;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;6;40º31'25.35'' N ;3º46'45.77'' W  ;3421;24;0;3;14;2;5;448;28798;2.67;23923;53;48;197;95;148;121;99;2811379;1;0;0;1;5;2950000;927526.2;2163275.8;3840.5605;469;12;65.0;2;10.0;660;187;2950000
128.0;Moratalaz;14;Fontarrón;145;3;Piso;0;0.0;2.0;4;2;1;1;0;1;mas_50;0;señorial;0;0;1;0;0;0;1;28030;Desconocido;1;0;0;0;0;Normal;Independiente;0;3;40º24'20.96'' N ;3º39'23.67'' W  ;17333;158;13;9;4;0;0;159;20091;2.46;11265;19;10;752;245;237;309;321;486635;2;1;0;1;2;379000;262037.88;275158.28;2895.931;163;6;21.333334;2;7.0;1864;33;379000
69.0;Salamanca;4;Lista;45;3;Piso;2;0.0;1.0;2;1;0;0;0;1;mas_50;0;lujo;0;0;1;0;0;0;1;28006;Desconocido;1;0;0;0;0;Normal;Desconocido;0;3;40º25'54.02'' N ;3º40'23.99'' W  ;20969;247;2;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;1;0;0;1;5;825000;1352493.4;1769842.4;9809.669;205;3;23.0;1;6.0;7681;166;825000
45.0;Chamberí;7;Ríos Rosas;75;1;Piso;1;0.0;4.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28003;Desconocido;0;0;0;0;1;Desconocido;Desconocido;0;1;40º26'31.47'' N ;3º41'42.26'' W  ;27163;380;54;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;1;0;0;1;5;270000;1010490.94;1373545.5;7217.792;173;2;22.5;1;4.0;6900;66;270000
37.0;Tetuán;6;Cuatro Caminos;62;3;Piso;0;0.0;2.0;3;1;0;0;0;0;mas_50;0;Desconocido;0;0;1;0;0;0;1;28020;Desconocido;1;0;0;0;0;Normal;Desconocido;0;3;40º27'24.65'' N ;3º42'5.69'' W   ;34753;416;20;6;12;0;0;166;22890;2.34;25992;70;28;1337;589;375;1502;538;301635;0;0;0;1;4;230000;673395.56;576069.7;5562.1284;178;4;9.25;1;5.0;4341;103;230000
730.0;San Blas-Canillejas;20;Simancas;201;0;Duplex;2;0.0;2.0;9;6;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28037;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º26'22.99'' N ;3º37'5.97'' W   ;28765;358;9;3;10;0;0;275;19768;2.63;16710;44;26;1504;739;381;828;552;995950;0;0;0;1;3;1200000;330895.38;560000.0;3165.2717;285;15;48.666668;1;3.0;4004;89;1200000
126.0;Villa De Vallecas;18;Ensanche De Vallecas;183;0;Piso;5;0.0;3.0;3;2;0;1;1;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28031;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º22'18.32'' N ;3º35'37.69'' W  ;53208;730;345;1;5;0;1;158;17346;2.61;12370;27;11;0;0;0;0;0;2681389;0;0;0;1;3;534900;325844.3;248783.3;3488.365;164;5;25.2;3;3.0;0;72;534900
92.0;Arganzuela;2;Legazpi;24;0;Piso;3;0.0;1.0;2;2;0;0;1;1;Desconocido;0;Desconocido;0;0;2;0;0;0;4;28045;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;40º23'20.3'' N  ;3º41'39.36'' W  ;19468;173;51;4;9;0;4;186;27431;2.31;23071;17;13;1151;633;494;969;454;547811;2;2;0;1;3;435000;435895.06;404461.3;4548.47;199;4;23.0;2;7.0;3701;30;435000
42.0;Tetuán;6;Berruguete;66;0;Estudio;0;0.0;1.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28039;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º27'35.2'' N  ;3º41'58.58'' W  ;25694;269;34;6;12;0;0;166;22890;2.34;25992;70;28;1337;589;375;1502;538;301635;0;0;0;1;2;175000;271995.72;207890.0;4099.597;178;2;21.0;1;3.0;4341;49;175000
125.0;Centro;1;Palacio;11;0;Piso;0;0.0;2.0;4;2;0;1;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28013;Desconocido;0;0;1;0;0;Normal;Independiente;0;0;40º24'37.23'' N ;3º42'42.73'' W  ;23501;258;33;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;880000;862438.4;870158.06;6941.3525;210;6;20.833334;1;4.0;3240;211;880000
106.0;Salamanca;4;Castellana;46;0;Piso;2;0.0;1.0;3;4;0;1;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28006;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'48.41'' N ;3º41'19.19'' W  ;16919;189;3;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;1275000;2323510.8;1769842.4;11284.615;205;7;15.142858;2;4.0;7681;272;1275000
137.0;Latina;10;Puerta Del Ángel;102;0;Piso;2;0.0;5.0;4;2;0;1;1;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28011;Madera;0;0;1;0;1;Desconocido;Amueblada;0;0;40º24'43.74'' N ;3º44'8.38'' W   ;43292;532;117;3;10;2;5;307;17267;2.49;30102;82;31;1223;499;366;628;523;1047962;2;0;6;1;2;649900;323134.53;244581.98;3741.5579;324;6;22.833334;3;4.0;3239;55;649900
75.0;Salamanca;4;Goya;42;0;Piso;0;0.0;2.0;1;1;0;0;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'21.71'' N ;3º40'48.03'' W  ;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;750000;1480537.9;1769842.4;10122.084;205;2;37.5;1;3.0;7681;346;750000
43.0;Tetuán;6;Berruguete;66;0;Estudio;0;0.0;1.0;1;1;0;0;1;1;menos_5;0;Desconocido;0;0;1;0;0;0;1;28039;Desconocido;0;0;0;1;0;Desconocido;Desconocido;0;0;40º27'35.2'' N  ;3º41'58.58'' W  ;25694;269;34;6;12;0;0;166;22890;2.34;25992;70;28;1337;589;375;1502;538;301635;0;0;0;1;2;190000;271995.72;207890.0;4099.597;178;2;21.5;2;3.0;4341;49;190000
84.0;Villa De Vallecas;18;Casco Histórico De Vallecas;181;3;Piso;2;0.5;2.0;2;1;0;0;0;1;10_30;0;Desconocido;0;0;1;0;0;0;1;28031;Desconocido;1;0;1;0;0;Normal;Desconocido;0;3;40º21'49.69'' N ;3º34'25.36'' W  ;40417;419;107;1;5;0;1;158;17346;2.61;12370;27;11;0;0;0;0;0;2681389;1;0;1;1;1;230000;226514.83;248783.3;2518.5977;164;3;28.0;1;6.5;0;60;230000
180.0;Salamanca;4;Recoletos;41;0;Atico;2;0.0;6.0;2;2;0;1;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'19.05'' N ;3º40'53.05'' W  ;15444;243;8;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;2000000;2479820.2;1924147.5;11784.251;205;4;45.0;2;3.0;7681;262;2000000
119.0;Retiro;3;Ibiza;34;0;Piso;2;0.0;3.0;2;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28009;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'1.9'' N   ;3º40'41.21'' W  ;21492;257;0;4;8;0;0;138;33396;2.39;16179;10;13;408;160;169;349;164;1427833;0;0;0;1;5;1149000;1324904.2;1325221.9;10157.479;146;4;29.75;1;3.0;1250;143;1149000
103.0;Fuencarral-El Pardo;8;El Pardo;81;1;Piso;1;0.0;2.5;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28048;Desconocido;0;0;1;0;0;Desconocido;Desconocido;0;1;40º31'25.35'' N ;3º46'45.77'' W  ;3421;24;0;3;14;2;5;448;28798;2.67;23923;53;48;197;95;148;121;99;2811379;0;0;0;1;5;420000;927526.2;436910.75;3840.5605;469;5;20.6;1;5.0;660;187;420000
110.0;Retiro;3;Ibiza;34;0;Piso;3;0.0;3.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28009;Desconocido;0;0;0;1;0;Desconocido;Desconocido;0;0;40º25'1.9'' N   ;3º40'41.21'' W  ;21492;257;0;4;8;0;0;138;33396;2.39;16179;10;13;408;160;169;349;164;1427833;0;0;0;1;5;1400000;1324904.2;1325221.9;10157.479;146;5;22.0;1;4.0;1250;143;1400000
94.0;Salamanca;4;Lista;45;0;Piso;0;0.0;5.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28006;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;40º25'54.02'' N ;3º40'23.99'' W  ;20969;247;2;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;749000;1352493.4;1769842.4;9809.669;205;5;18.8;1;3.0;7681;166;749000
