m2_constr;letra_ce;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;jardin;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;letra_emisiones;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;habitantes;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;precio_mean_b;total_estaciones;habitaciones;atrib_lujo;atrib;serv_barrio;url;cod_barrio;cod_distrito;codigo_postal;target
1.1084337;0;0.5;0.0;-1.0;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.37473327;0.004149378;0.030303031;0.25;0.36363637;0;0.0;0.8240741;0.91156936;-0.015433361;0.17142858;-0.51152295;-0.2682927;0.3;-0.6421446;-0.4054054;-0.1092437;-0.12337011;-0.6964286;-0.20408913;0;0;0;0;0.33333334;0.751341;0.8113208;2.0;1;0.0;-0.5329027;https://www.indomio.es/anuncios/96586045/;54;5;28016;1.1390187
-0.8433735;0;-0.5;1.0;0.0;-3;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.44657218;1.2572614;0.57575756;0.25;1.0;0;0.5;-0.046296295;0.0;-0.10246321;-1.1428572;1.1183178;0.0;0.45;0.0;0.5984556;-0.36414567;-0.046138417;-0.58035713;-0.19729364;0;0;0;-1;0.0;-0.015428565;0.0;-1.0;-1;0.0;0.0;https://www.pisos.com/comprar/estudio-universidad_malasana28004-45888007467_100500/;15;1;28015;-0.18691589
-0.04819277;0;0.5;0.0;0.0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;1;0;0;0;0;-0.2700662;-0.70124483;0.121212125;-1.0;-0.90909094;0;0.5;-0.3888889;0.0055341953;-1.6533115;0.6857143;-2.3814445;-0.9756098;-1.6;-1.0087281;-0.31402832;-0.3977591;-0.10631896;-1.0297619;1.0621114;0;2;6;0;-0.33333334;-0.113099076;-0.5471698;0.33333334;1;1.5;-0.7028664;https://www.pisos.com/comprar/piso-alameda_de_osuna_barrio-43382670670_524622/;211;21;28042;-0.14614487
0.6385542;0;-0.5;0.0;0.0;-1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;-0.061279204;-0.21576764;0.6666667;0.25;1.0;0;0.5;-0.046296295;0.0;-0.10246321;-1.1428572;1.1183178;0.0;0.45;0.0;0.5984556;-0.36414567;-0.046138417;-0.58035713;-0.19729364;0;2;0;-1;0.0;0.02924958;0.0;0.0;0;0.0;0.0;https://www.pisos.com/comprar/piso-centro_palacio28013-44179077746_102100/;11;1;28013;0.8294392
-0.40963855;0;0.5;0.0;-0.5;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.061279204;-0.21576764;0.6666667;0.25;1.0;0;0.5;-0.046296295;0.0;-0.10246321;-1.1428572;1.1183178;0.0;0.45;0.0;0.5984556;-0.36414567;-0.046138417;-0.58035713;-0.19729364;0;0;0;-1;0.0;0.02924958;0.0;-0.33333334;-1;-0.5;0.0;https://www.pisos.com/comprar/piso-centro_palacio28005-45016586295_100200/;11;1;28013;-0.099299066
-0.43373495;0;0.0;0.0;0.5;-1;-1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;-0.040761612;-0.7095436;-0.27272728;-1.25;-1.0;0;0.0;-0.25925925;-0.5641384;-0.48039317;0.62857145;-1.469589;-0.3902439;-1.4;-1.5062344;-0.75804377;-0.7478992;-0.62988967;-1.3511904;1.6442064;0;0;0;0;-1.0;-0.5424141;-0.43396226;-0.33333334;0;0.0;-1.308034;https://www.redpiso.es/inmueble/piso-en-venta-en-villa-de-vallecas-ensanche-y-santa-eugenia-madrid-madrid-RP202024124903;182;18;28031;-0.42640188
0.8313253;0;-0.5;0.0;0.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.13908191;0.29045644;1.3030303;0.75;0.54545456;0;-0.5;-0.32407406;0.5769544;-0.12772554;-0.51428574;0.107745305;-0.5365854;0.0;0.90024936;0.67824966;2.162465;1.2858576;1.3422619;-0.34982345;0;0;0;0;0.33333334;0.28045133;-0.3490566;0.6666667;0;-0.5;1.4775939;https://www.indomio.es/anuncios/96847785/;75;7;28003;1.2558411
-0.14457831;2;0.5;0.0;-0.5;-1;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;-0.39514142;1.593361;15.0;-0.75;-0.54545456;0;-0.5;0.8240741;-0.42304555;0.26432613;0.6857143;-0.95402706;0.024390243;-0.65;0.3690773;0.19305019;0.31932774;0.2006018;0.29166666;0.38155508;0;0;0;0;-0.33333334;-0.39021027;0.7075472;0.0;3;0.5;0.30843762;https://www.indomio.es/anuncios/89877827/;206;20;28037;-0.15186916
-0.024096385;3;1.5;0.0;-0.5;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;-0.36893362;-1.2572614;-0.27272728;-1.0;-1.0909091;0;0.5;0.0;-0.7892928;-0.05035432;1.1714286;-1.3373723;0.8292683;-0.65;0.35785535;-0.03088803;0.0;0.06118355;0.110119045;0.02135751;0;0;0;0;-1.0;-0.5329072;-0.16981132;0.0;1;1.0;0.107791685;https://www.pisos.com/comprar/piso-usera_pradolongo28026-48378718515_100200/;127;12;28041;-0.30373833
0.16867469;4;-0.5;1.0;0.0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;4;-0.9004213;-0.7759336;-0.060606062;0.25;1.0;0;0.5;-0.046296295;0.0;-0.10246321;-1.1428572;1.1183178;0.0;0.45;0.0;0.5984556;-0.36414567;-0.046138417;-0.58035713;-0.19729364;0;0;0;-1;0.0;0.073753946;0.0;0.6666667;0;2.5;0.0;https://www.pisos.com/comprar/piso-sol_barrio28012-40862091849_108900/;16;1;28013;0.60046726
