m2_constr;distrito;cod_distrito;barrio;cod_barrio;letra_ce;tipologia;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;antiguedad;jardin;tipo_inmueble;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;codigo_postal;tipo_suelo;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;aire;grupo_cocina;orientacion_norte;letra_emisiones;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;target;precio_mean_b;pm_tlogia_distrito;euro_m2_barrio;total_estaciones;habitaciones;m2_por_hab;atrib_lujo;atrib;serv_barrio;cod_barrio_frecuency
192.0;Centro;1;Sol;16;4;Piso;0;0.0;2.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28013;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;4;8164;123;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;1000000;884228.9;858494.75;6534.624;210;5;38.4;0;7.0;3240;267
98.0;Carabanchel;11;Opañel;112;3;Piso;2;0.0;2.0;3;2;0;1;0;1;10_30;1;Desconocido;0;0;1;0;0;0;1;28019;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;3;33883;351;47;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;0;0;0;1;2;424000;247857.42;221407.95;2746.222;305;5;19.6;3;6.0;3422;63
46.0;Salamanca;4;Lista;45;0;Piso;0;0.0;2.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28006;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;20969;247;2;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;525000;1327757.0;1752995.2;9760.718;205;5;9.2;1;3.0;7681;163
58.0;Puente De Vallecas;13;Numancia;136;0;Piso;4;0.0;2.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28038;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;48720;546;94;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;0;0;0;1;1;172000;177963.3;173013.36;2592.7698;321;2;29.0;1;3.0;1012;94
35.0;Barajas;21;Casco Histórico De Barajas;213;0;Estudio;2;0.0;1.0;0;1;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28042;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;7384;94;12;2;6;0;2;144;27125;2.63;4694;3;7;399;345;125;522;108;1904385;0;0;0;1;2;229000;305168.75;224500.0;3540.7542;152;1;35.0;1;3.0;1499;32
60.0;Chamartín;5;Nueva España;55;0;Piso;1;0.0;2.0;2;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28016;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;24466;186;26;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;0;2;0;1;5;380000;1463382.4;1133329.0;6807.982;296;3;20.0;1;4.0;1920;102
116.0;Chamartín;5;Prosperidad;52;0;Piso;0;0.0;5.0;3;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28002;Madera;0;0;0;0;0;Normal;Desconocido;0;0;36027;383;43;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;1;0;0;1;5;495000;1026124.25;1133329.0;5790.642;296;4;29.0;1;4.0;1920;103
600.0;Moncloa-Aravaca;9;Aravaca;97;0;Casa;0;0.1;0.0;6;5;0;1;0;1;10_30;2;lujo;0;1;2;0;0;0;1;28023;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;27445;200;9;6;14;1;3;351;36592;2.58;14738;26;59;532;200;235;347;207;19901426;0;0;0;1;5;1800000;1816662.8;2056221.2;4638.9844;369;11;54.545456;5;4.1;1521;51
121.0;Arganzuela;2;Palos De Moguer;26;0;Piso;0;0.0;3.0;1;1;0;0;0;1;mas_50;0;señorial;0;0;1;0;0;0;1;28045;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;25097;332;22;4;9;0;4;186;27431;2.31;23071;17;13;1151;633;494;969;454;547811;0;0;0;1;3;720000;388784.84;405019.25;5513.4937;199;2;60.5;1;3.0;3701;33
269.0;Salamanca;4;Recoletos;41;0;Piso;0;0.0;2.0;3;3;0;0;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;15444;243;8;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;4350000;2437429.2;1752995.2;11892.907;205;6;44.833332;1;3.0;7681;270
